id,id_venta,id_producto,cantidad,unidad_medida,precio_unitario,subtotal,created_at
28594,f696ed2d-eb5c-4fee-be33-81f376779c69,80,1.000,unidades,1600.00,1600.00,2026-03-01 00:01:51.428681+00
28595,fa3f858d-4374-4d5c-8058-233e3da7fc81,122,0.160,kg,18000.00,2880.00,2026-03-01 00:08:20.968123+00
28596,fa3f858d-4374-4d5c-8058-233e3da7fc81,280,0.190,kg,16000.00,3040.00,2026-03-01 00:08:20.968123+00
28597,fa3f858d-4374-4d5c-8058-233e3da7fc81,135,0.330,kg,6000.00,1980.00,2026-03-01 00:08:20.968123+00
28598,4b14981e-ed84-46b1-936f-1435ccb78aea,159,0.680,kg,3000.00,2040.00,2026-03-01 00:11:37.743608+00
28599,4b14981e-ed84-46b1-936f-1435ccb78aea,85,0.305,kg,6500.00,1982.50,2026-03-01 00:11:37.743608+00
28600,1898e34b-cb02-4a74-86a4-706f9b2bee51,88,0.115,kg,9000.00,1035.00,2026-03-01 00:15:35.549039+00
28601,1898e34b-cb02-4a74-86a4-706f9b2bee51,228,1.000,unidades,2800.00,2800.00,2026-03-01 00:15:35.549039+00
28602,1898e34b-cb02-4a74-86a4-706f9b2bee51,85,0.235,kg,6500.00,1527.50,2026-03-01 00:15:35.549039+00
28603,1898e34b-cb02-4a74-86a4-706f9b2bee51,180,0.055,kg,17000.00,935.00,2026-03-01 00:15:35.549039+00
28604,1fdc0326-a04d-44bf-b80c-7b957da6290c,180,0.095,kg,17000.00,1615.00,2026-03-01 00:21:28.362042+00
28605,086b94c2-97ea-4538-9167-7e4805701369,198,1.000,unidades,2900.00,2900.00,2026-03-01 00:32:56.510245+00
28606,efdd8dc6-7ebb-42a6-93e2-43d96770b0d8,87,1.000,kg,4000.00,4000.00,2026-03-01 00:37:30.370242+00
28607,efdd8dc6-7ebb-42a6-93e2-43d96770b0d8,167,1.000,unidades,2000.00,2000.00,2026-03-01 00:37:30.370242+00
28608,5cc08fa3-a976-43ee-8aa0-9e31bf74a929,192,0.220,kg,14000.00,3080.00,2026-03-01 00:40:31.711593+00
28609,5cc08fa3-a976-43ee-8aa0-9e31bf74a929,84,0.230,kg,10000.00,2300.00,2026-03-01 00:40:31.711593+00
28610,47faa9f0-838f-4155-a964-4a50b9c02198,84,0.215,kg,10000.00,2150.00,2026-03-01 00:49:41.992928+00
28611,47faa9f0-838f-4155-a964-4a50b9c02198,280,0.155,kg,16000.00,2480.00,2026-03-01 00:49:41.992928+00
28612,47faa9f0-838f-4155-a964-4a50b9c02198,129,0.160,kg,9500.00,1520.00,2026-03-01 00:49:41.992928+00
28613,47faa9f0-838f-4155-a964-4a50b9c02198,135,0.165,kg,6000.00,990.00,2026-03-01 00:49:41.992928+00
28614,47faa9f0-838f-4155-a964-4a50b9c02198,192,0.150,kg,14000.00,2100.00,2026-03-01 00:49:41.992928+00
28615,47faa9f0-838f-4155-a964-4a50b9c02198,73,3.000,unidades,1500.00,4500.00,2026-03-01 00:49:41.992928+00
28616,f4d98cf6-843c-48bd-aee4-b9e15c9eb48c,71,1.000,unidades,1500.00,1500.00,2026-03-01 00:50:03.412319+00
28617,f4d98cf6-843c-48bd-aee4-b9e15c9eb48c,29,1.000,unidades,1400.00,1400.00,2026-03-01 00:50:03.412319+00
28618,fdcf0dae-d771-411e-a512-4036ab51c2fe,137,6.000,unidades,500.00,3000.00,2026-03-01 00:50:54.668423+00
28619,dcb82bf4-8f07-4157-bf00-630da78b47e3,85,3.645,kg,6500.00,23692.50,2026-03-01 00:58:41.100462+00
28620,6624abd2-ce0a-4a5a-af8f-0c3a94a418f8,88,0.300,kg,9000.00,2700.00,2026-03-02 12:21:50.94688+00
28621,6624abd2-ce0a-4a5a-af8f-0c3a94a418f8,84,0.210,kg,10000.00,2100.00,2026-03-02 12:21:50.94688+00
28622,6624abd2-ce0a-4a5a-af8f-0c3a94a418f8,147,1.000,unidades,1400.00,1400.00,2026-03-02 12:21:50.94688+00
28623,9ad81b18-3af4-46e1-90a1-7f6a3ee0088b,88,0.200,kg,9000.00,1800.00,2026-03-02 12:31:33.208921+00
28624,9ad81b18-3af4-46e1-90a1-7f6a3ee0088b,85,0.515,kg,6500.00,3347.50,2026-03-02 12:31:33.208921+00
28625,d090fcd2-c920-43b1-9eb7-0c8541771596,84,0.600,kg,10000.00,6000.00,2026-03-02 12:37:18.243213+00
28626,888c4f59-4647-4fad-ae68-9b308e96b39d,84,0.150,kg,10000.00,1500.00,2026-03-02 12:43:41.943617+00
28627,888c4f59-4647-4fad-ae68-9b308e96b39d,280,0.160,kg,16000.00,2560.00,2026-03-02 12:43:41.943617+00
28628,bc726139-9c04-47dc-b1d5-ae81f362de77,84,1.000,kg,10000.00,10000.00,2026-03-02 12:55:46.565281+00
28629,bc726139-9c04-47dc-b1d5-ae81f362de77,88,1.000,kg,9000.00,9000.00,2026-03-02 12:55:46.565281+00
28630,bc726139-9c04-47dc-b1d5-ae81f362de77,280,1.000,kg,16000.00,16000.00,2026-03-02 12:55:46.565281+00
28631,bc726139-9c04-47dc-b1d5-ae81f362de77,149,1.000,unidades,1700.00,1700.00,2026-03-02 12:55:46.565281+00
28632,6001a9cc-c109-481c-8003-71187e78d8c0,240,12.000,unidades,200.00,2400.00,2026-03-02 12:57:16.847378+00
28633,3a281be5-b309-4744-854b-3a2953da7296,124,0.130,kg,14000.00,1820.00,2026-03-02 13:13:51.298635+00
28634,3a281be5-b309-4744-854b-3a2953da7296,39,1.000,unidades,2400.00,2400.00,2026-03-02 13:13:51.298635+00
28635,3a281be5-b309-4744-854b-3a2953da7296,240,12.000,unidades,200.00,2400.00,2026-03-02 13:13:51.298635+00
28636,195e52a3-a821-46b6-a700-9d3151562900,137,2.000,unidades,500.00,1000.00,2026-03-02 13:15:04.364217+00
28637,6529eef9-b4ba-4754-8984-dc4255afec69,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:55.217348+00
28638,28bfa04e-62b4-4ce2-8729-6b4939426154,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:56.961677+00
28639,80e7f801-7df1-4d1e-82da-669be0a30ca8,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:56.989153+00
28640,aeb96c39-dd88-41c8-9b47-7e6fb6b6f091,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:56.996689+00
28641,55f35052-ad08-4361-b5b3-10441c12c9e7,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:57.014263+00
28642,0a360a96-07da-4a88-869a-07a9291eb3ff,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:57.019232+00
28643,1c0f77e5-3a53-469f-bad2-0e4299fcd20e,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:57.02929+00
28644,608742d1-2b97-43e8-b1a4-1a8ff8aa5edb,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:57.032983+00
28645,358898d9-6e6c-43cb-bd80-43b64a445558,152,1.000,unidades,2000.00,2000.00,2026-03-02 13:15:57.055756+00
28646,824c4fd6-0a16-42e7-917e-87cbda0ce219,84,0.260,kg,10000.00,2600.00,2026-03-02 13:19:42.411142+00
28647,824c4fd6-0a16-42e7-917e-87cbda0ce219,87,0.260,kg,4000.00,1040.00,2026-03-02 13:19:42.411142+00
28648,9fb94b1c-b9b8-4df9-b702-00d50867f143,84,0.300,kg,10000.00,3000.00,2026-03-02 13:21:33.626759+00
28649,f1a6f782-027b-4c08-9c16-ea5ad8d4b566,167,1.000,unidades,2000.00,2000.00,2026-03-02 13:21:39.795833+00
28650,5583fd7a-2896-40fc-98d7-08c39749b3ba,240,12.000,unidades,200.00,2400.00,2026-03-02 13:24:53.908338+00
28651,c3267002-eb51-4cbd-b041-f01232be57bb,349,1.000,unidades,2000.00,2000.00,2026-03-02 13:34:05.578072+00
28652,186e365d-37b2-46f6-8422-ec0bae5a5310,240,12.000,unidades,200.00,2400.00,2026-03-02 13:43:19.33808+00
28653,d7e84e36-0664-40a3-9131-80f6b0999eff,84,0.150,kg,10000.00,1500.00,2026-03-02 13:49:25.934493+00
28654,d7e84e36-0664-40a3-9131-80f6b0999eff,71,1.000,unidades,1500.00,1500.00,2026-03-02 13:49:25.934493+00
28655,d7e84e36-0664-40a3-9131-80f6b0999eff,129,0.055,kg,9500.00,522.50,2026-03-02 13:49:25.934493+00
28656,826642a8-a3e7-45f8-a7ae-316d068bf8ac,85,1.000,kg,6500.00,6500.00,2026-03-02 13:50:02.432822+00
28657,c3295e6d-5194-43b6-aa80-bbdb2255a291,85,1.850,kg,6500.00,12025.00,2026-03-02 13:54:14.849053+00
28658,c3295e6d-5194-43b6-aa80-bbdb2255a291,4,1.000,unidades,1100.00,1100.00,2026-03-02 13:54:14.849053+00
28659,c3295e6d-5194-43b6-aa80-bbdb2255a291,149,2.000,unidades,1700.00,3400.00,2026-03-02 13:54:14.849053+00
28660,a56c7292-b5d6-4d46-8207-0981e95c54f3,243,1.000,unidades,2600.00,2600.00,2026-03-02 13:58:34.173864+00
28661,41a001a4-0009-4c5b-8924-29ac4c343f35,137,4.000,unidades,500.00,2000.00,2026-03-02 14:00:50.379838+00
28662,d9954240-c895-487f-8026-69aff67c4565,87,0.150,kg,4000.00,600.00,2026-03-02 14:14:14.425956+00
28663,d9954240-c895-487f-8026-69aff67c4565,84,0.120,kg,10000.00,1200.00,2026-03-02 14:14:14.425956+00
28664,8e8c75c1-f14a-4789-af81-74fbd20d0b0b,145,1.000,unidades,2400.00,2400.00,2026-03-02 14:14:38.796435+00
28665,edaf793b-2b2a-4187-a2ab-55fba9308763,84,0.050,kg,10000.00,500.00,2026-03-02 14:22:20.454033+00
28666,edaf793b-2b2a-4187-a2ab-55fba9308763,192,0.075,kg,14000.00,1050.00,2026-03-02 14:22:20.454033+00
28667,da7f9755-87a4-4168-8ee7-f730ed97c806,85,0.535,kg,6500.00,3477.50,2026-03-02 14:25:57.991011+00
28668,da7f9755-87a4-4168-8ee7-f730ed97c806,167,1.000,unidades,2000.00,2000.00,2026-03-02 14:25:57.991011+00
28669,da7f9755-87a4-4168-8ee7-f730ed97c806,131,0.100,kg,12000.00,1200.00,2026-03-02 14:25:57.991011+00
28670,da7f9755-87a4-4168-8ee7-f730ed97c806,240,10.000,unidades,200.00,2000.00,2026-03-02 14:25:57.991011+00
28671,da7f9755-87a4-4168-8ee7-f730ed97c806,136,0.055,kg,27000.00,1485.00,2026-03-02 14:25:57.991011+00
28672,cf7d38b0-f423-4406-869b-d3cb32cfe4ec,129,0.210,kg,9500.00,1995.00,2026-03-02 14:31:18.042292+00
28673,cf7d38b0-f423-4406-869b-d3cb32cfe4ec,84,0.210,kg,10000.00,2100.00,2026-03-02 14:31:18.042292+00
28674,cf7d38b0-f423-4406-869b-d3cb32cfe4ec,135,0.165,kg,6000.00,990.00,2026-03-02 14:31:18.042292+00
28675,cf7d38b0-f423-4406-869b-d3cb32cfe4ec,142,2.000,unidades,1300.00,2600.00,2026-03-02 14:31:18.042292+00
28676,90a283fa-efc4-4181-a2c1-506d4f0749b5,24,5.000,unidades,300.00,1500.00,2026-03-02 14:42:35.313112+00
28677,a08ad54a-e50a-43eb-aa97-833f55683bd7,277,1.000,kg,4500.00,4500.00,2026-03-02 14:43:31.265319+00
28678,b6b840ba-fa30-4a2d-b86d-428a17078676,277,0.450,kg,4500.00,2025.00,2026-03-02 14:45:45.936841+00
28679,0616af1c-49f7-437e-8ecd-ef33fe222e90,84,0.530,kg,10000.00,5300.00,2026-03-02 14:57:01.051686+00
28680,0616af1c-49f7-437e-8ecd-ef33fe222e90,137,4.000,unidades,500.00,2000.00,2026-03-02 14:57:01.051686+00
28681,f436c18f-411d-4df9-ba87-87b582467c7b,85,0.425,kg,6500.00,2762.50,2026-03-02 15:07:37.088805+00
28682,f436c18f-411d-4df9-ba87-87b582467c7b,88,0.110,kg,9000.00,990.00,2026-03-02 15:07:37.088805+00
28683,f436c18f-411d-4df9-ba87-87b582467c7b,165,0.110,kg,8000.00,880.00,2026-03-02 15:07:37.088805+00
28684,f436c18f-411d-4df9-ba87-87b582467c7b,180,0.090,kg,17000.00,1530.00,2026-03-02 15:07:37.088805+00
28685,5180feb8-ee50-4b7c-8204-8c200ea2e43f,167,2.000,unidades,2000.00,4000.00,2026-03-02 15:10:46.140487+00
28686,9fa20f9f-ef2f-47e4-8bd5-d1a8f7aec456,84,0.270,kg,10000.00,2700.00,2026-03-02 15:26:50.905381+00
28687,43a5c3c9-8dec-4d25-9cad-31d6327eb5ec,180,0.060,kg,17000.00,1020.00,2026-03-02 15:38:21.994274+00
28688,43a5c3c9-8dec-4d25-9cad-31d6327eb5ec,167,1.000,unidades,2000.00,2000.00,2026-03-02 15:38:21.994274+00
28689,43a5c3c9-8dec-4d25-9cad-31d6327eb5ec,165,0.100,kg,8000.00,800.00,2026-03-02 15:38:21.994274+00
28690,9c71f014-11ea-4021-a12e-92e58af3b235,84,0.190,kg,10000.00,1900.00,2026-03-02 15:42:03.05182+00
28691,9c71f014-11ea-4021-a12e-92e58af3b235,192,0.135,kg,14000.00,1890.00,2026-03-02 15:42:03.05182+00
28692,d0764600-4dfd-4684-9a74-608a5b3f2a3c,119,0.155,kg,19000.00,2945.00,2026-03-02 15:47:47.799589+00
28693,d0764600-4dfd-4684-9a74-608a5b3f2a3c,76,1.000,unidades,2500.00,2500.00,2026-03-02 15:47:47.799589+00
