codigo,nombre,id_categoria,precio,stock,unidad_medida,stock_minimo,descripcion,fecha_creacion,fecha_actualizacion
10,Harina Cañuelas 000,1,850.00,81.000,unidad,5.000,,2025-10-02 14:01:11.515895+00,2025-10-02 14:01:11.515895+00
11,harina pureza leudante,1,1500.00,182.000,unidad,6.000,,2025-10-02 14:01:39.934883+00,2025-10-02 14:01:39.934883+00
12,harina pureza 0000,1,1200.00,433.000,unidad,6.000,,2025-10-02 14:02:04.168814+00,2025-10-02 14:02:04.168814+00
13,harina pureza integral,1,1900.00,188.000,unidad,6.000,,2025-10-02 14:02:47.264567+00,2025-10-02 14:02:47.264567+00
14,"picadillo ",1,700.00,400.000,unidad,5.000,,2025-10-02 14:05:28.211457+00,2025-10-02 14:05:28.211457+00
15,atun,1,1600.00,21.000,unidad,5.000,"
",2025-10-02 14:05:59.969123+00,2025-10-02 14:05:59.969123+00
16,mermelada arcor,1,2400.00,100.000,unidad,2.000,,2025-10-02 14:07:03.560976+00,2025-10-02 14:07:03.560976+00
17,mermelada dulcor,1,1500.00,100.000,unidad,2.000,,2025-10-02 14:11:15.645838+00,2025-10-02 14:11:15.645838+00
18,"dulce de leche la serenisima ",1,2800.00,386.000,unidad,2.000,,2025-10-02 14:11:53.628709+00,2025-10-02 14:11:53.628709+00
19,tomates en lata,1,900.00,43.000,unidad,6.000,,2025-10-02 14:12:21.268339+00,2025-10-02 14:12:21.268339+00
20,palmitos laminados,1,2400.00,100.000,unidad,1.000,,2025-10-02 14:12:50.655264+00,2025-10-02 14:12:50.655264+00
21,palmitos trozos,1,2400.00,18.000,unidad,4.000,,2025-10-02 14:13:21.102199+00,2025-10-02 14:13:21.102199+00
22,arvejas en lata,1,800.00,991.000,unidad,2.000,,2025-10-02 14:13:41.999958+00,2025-10-02 14:13:41.999958+00
23,"choclo en grano ",1,1600.00,64.000,unidad,6.000,,2025-10-02 14:14:04.81731+00,2025-10-02 14:14:04.81731+00
25,pure de tomate arcor,1,1100.00,188.000,unidad,60.000,,2025-10-02 14:15:31.786238+00,2025-10-02 14:15:31.786238+00
